year,player,Team
2005,Shaquille O'Neal,Los Angeles Lakers
2005,LeBron James,Cleveland Cavaliers
2005,Dirk Nowitzki,Dallas Mavericks
2005,Kobe Bryant,Los Angeles Lakers
2005,Steve Nash,Phoenix Suns
2006,Amar'e Stoudemire,Phoenix Suns
2006,Dirk Nowitzki,Dallas Mavericks
2006,Tim Duncan,San Antonio Spurs
2006,Kobe Bryant,Los Angeles Lakers
2006,Steve Nash,Phoenix Suns
2007,Dwight Howard,Orlando Magic
2007,LeBron James,Cleveland Cavaliers
2007,Kevin Garnett,Boston Celtics
2007,Chris Paul,New Orleans Hornets
2007,Kobe Bryant,Los Angeles Lakers
2008,Dwight Howard,Orlando Magic
2008,LeBron James,Cleveland Cavaliers
2008,Dirk Nowitzki,Dallas Mavericks
2008,Dwyane Wade,Miami Heat
2008,Kobe Bryant,Los Angeles Lakers
2009,Dwight Howard,Orlando Magic
2009,Kevin Durant,Oklahoma City Thunder
2009,LeBron James,Cleveland Cavaliers
2009,Kobe Bryant,Los Angeles Lakers
2009,Dwyane Wade,Miami Heat
2010,Dwight Howard,Orlando Magic
2010,LeBron James,Miami Heat
2010,Kevin Durant,Oklahoma City Thunder
2010,Derrick Rose,Chicago Bulls
2010,Kobe Bryant,Los Angeles Lakers
2011,Dwight Howard,Orlando Magic
2011,LeBron James,Miami Heat
2011,Kevin Durant,Oklahoma City Thunder
2011,Kobe Bryant,Los Angeles Lakers
2011,Chris Paul,Los Angeles Clippers
2012,Tim Duncan,San Antonio Spurs
2012,LeBron James,Miami Heat
2012,Kevin Durant,Oklahoma City Thunder
2012,Chris Paul,Los Angeles Clippers
2012,Kobe Bryant,Los Angeles Lakers
2013,Joakim Noah,Chicago Bulls
2013,LeBron James,Miami Heat
2013,Kevin Durant,Oklahoma City Thunder
2013,James Harden,Houston Rockets
2013,Chris Paul,Los Angeles Clippers
2014,Marc Gasol,Memphis Grizzlies
2014,LeBron James,Cleveland Cavaliers
2014,Anthony Davis,New Orleans Pelicans
2014,James Harden,Houston Rockets
2014,Stephen Curry,Golden State Warriors
2015,DeAndre Jordan,Los Angeles Clippers
2015,LeBron James,Cleveland Cavaliers
2015,Kawhi Leonard,San Antonio Spurs
2015,Stephen Curry,Golden State Warriors
2015,Russell Westbrook,Oklahoma City Thunder